-184.554,713.639,184.566,166.610,-22.523,148.332,-93.835,-949.208,192.418,-150.447,3.338,-45.118
-190.681,643.801,155.963,170.626,-18.727,148.756,-93.835,-949.208,192.417,-150.447,3.338,-45.118
-194.477,663.437,163.881,169.448,-19.874,149.027,-93.835,-949.208,192.417,-150.447,3.338,-45.118
-215.467,757.479,211.741,163.254,-25.493,151.154,-93.835,-949.208,192.417,-150.447,3.338,-45.118
-162.938,744.990,197.679,164.961,-24.026,146.836,-93.835,-949.209,192.418,-150.447,3.338,-45.118
-139.973,691.243,169.770,168.617,-20.685,144.430,-93.835,-949.208,192.417,-150.447,3.338,-45.118
-138.474,753.107,199.386,164.753,-24.212,145.006,-93.835,-949.208,192.417,-150.447,3.338,-45.118
-40.491,791.129,214.473,162.941,-25.776,138.328,-93.836,-949.208,192.417,-150.447,3.338,-45.118
-38.935,723.184,178.352,167.448,-21.787,136.520,-93.836,-949.208,192.417,-150.447,3.338,-45.118
-37.978,663.334,153.313,171.048,-18.332,135.344,-93.836,-949.208,192.417,-150.447,3.338,-45.118
-42.913,812.268,227.654,161.406,-27.035,139.158,-93.836,-949.208,192.417,-150.447,3.338,-45.118
45.148,776.092,197.062,164.513,-24.523,131.250,-93.835,-949.208,192.416,-150.447,3.338,-45.118
53.230,836.244,234.316,160.186,-28.135,132.967,-93.836,-949.208,192.418,-150.447,3.338,-45.118
55.851,851.303,243.571,159.091,-28.996,133.401,-93.836,-949.209,192.418,-150.447,3.338,-45.118
61.380,888.404,268.622,156.219,-31.137,134.700,-93.836,-949.208,192.417,-150.447,3.338,-45.118
118.345,885.488,250.677,157.135,-30.479,130.567,-93.836,-949.209,192.419,-150.447,3.338,-45.118
114.996,806.100,189.581,163.540,-25.377,126.927,-93.836,-949.208,192.417,-150.447,3.338,-45.118
15.412,835.293,202.448,162.024,-26.628,134.725,-93.836,-949.209,192.418,-150.447,3.338,-45.118
-21.164,837.097,203.697,161.878,-26.741,137.307,-93.836,-949.208,192.417,-150.447,3.338,-45.118
-96.891,828.117,201.417,162.141,-26.527,142.405,-93.836,-949.207,192.415,-150.447,3.338,-45.118
-96.427,756.587,162.198,166.935,-22.332,140.877,-93.836,-949.208,192.417,-150.447,3.338,-45.118
-99.948,751.872,160.181,167.200,-22.085,141.079,-93.836,-949.208,192.417,-150.447,3.338,-45.118
-146.831,708.279,144.482,169.363,-20.046,144.363,-93.836,-949.208,192.416,-150.447,3.338,-45.118
-153.030,706.953,144.476,169.364,-20.045,144.865,-93.948,-949.071,192.480,-153.251,-13.548,-14.295
-153.030,706.951,144.475,169.364,-20.045,144.865,-93.943,-949.048,192.483,-154.622,-16.091,-8.920
-153.030,706.951,144.475,169.364,-20.045,144.865,-104.370,-994.485,184.276,-174.567,-18.215,17.375
-153.030,706.951,144.475,169.364,-20.045,144.865,-89.165,-919.276,217.798,-152.880,-31.032,13.159
-153.030,706.951,144.475,169.364,-20.045,144.865,-102.413,-997.014,277.768,-163.839,-26.470,18.080
-153.030,706.951,144.475,169.364,-20.045,144.865,-95.857,-930.432,99.270,-166.324,-21.715,14.415
-153.030,706.951,144.475,169.364,-20.045,144.865,-101.602,-927.899,13.905,-172.084,-16.535,13.897
-153.030,706.951,144.475,169.364,-20.045,144.865,-110.425,-984.730,45.941,-177.206,-14.391,15.256
-153.030,706.951,144.475,169.364,-20.045,144.865,-87.474,-895.003,74.339,-153.461,-28.619,11.026
-153.030,706.950,144.475,169.364,-20.045,144.865,-106.214,-951.171,105.882,-159.791,-26.410,13.338
-153.030,706.952,144.476,169.364,-20.045,144.865,-103.736,-939.344,168.796,-157.060,-28.542,13.322
-153.030,706.951,144.475,169.364,-20.045,144.865,-103.934,-940.384,185.316,-157.954,-28.233,13.775
-153.030,706.951,144.475,169.364,-20.045,144.865,-91.319,-852.850,147.589,-157.987,-26.190,11.767
-153.030,706.949,144.475,169.364,-20.045,144.865,-190.540,-875.177,124.819,-169.255,-14.460,34.329
-153.030,706.950,144.475,169.364,-20.045,144.865,-169.752,-785.134,114.762,-157.009,-26.411,30.275
-153.030,706.949,144.474,169.364,-20.045,144.865,-226.192,-858.611,140.565,-165.600,-18.409,30.973
-153.030,706.950,144.475,169.364,-20.045,144.865,-144.022,-921.027,128.350,-174.449,-8.699,38.652
-153.030,706.950,144.475,169.364,-20.045,144.865,-131.226,-855.664,90.563,-172.640,-14.825,48.224
-153.030,706.949,144.474,169.364,-20.045,144.865,-117.497,-771.415,65.730,-166.820,-23.310,46.389
-153.029,706.949,144.474,169.364,-20.045,144.865,-125.944,-818.542,67.358,-171.791,-15.951,47.910
-153.030,706.950,144.475,169.364,-20.045,144.865,-140.249,-901.839,84.272,-179.433,-3.509,48.990
-153.029,706.949,144.474,169.364,-20.045,144.865,-128.277,-813.512,85.922,-156.469,-4.803,-2.860
-153.029,706.949,144.474,169.364,-20.045,144.865,-148.464,-933.235,133.907,-171.487,-2.811,-1.989
-153.030,706.949,144.475,169.364,-20.045,144.865,-122.551,-761.047,2.078,-175.748,-1.467,-2.380
-153.030,706.949,144.474,169.364,-20.045,144.865,-137.474,-856.004,47.776,-178.365,-1.372,-2.192
-153.029,706.950,144.475,169.364,-20.045,144.865,-146.913,-915.222,84.399,178.907,-1.125,-2.010
-153.029,706.949,144.474,169.364,-20.045,144.865,-152.881,-957.080,134.108,-177.961,-1.812,-1.814
-153.029,706.949,144.474,169.364,-20.045,144.865,-153.142,-964.069,174.817,-170.569,-3.091,-1.795
-153.030,706.949,144.475,169.364,-20.045,144.865,-150.171,-948.885,194.327,-163.303,-4.242,-2.008
-153.030,706.949,144.474,169.364,-20.045,144.865,-141.955,-901.615,216.411,-148.235,-6.392,-2.981
-153.030,706.949,144.474,169.364,-20.045,144.865,-150.703,-952.372,262.578,-154.388,-5.674,-2.346
-153.030,706.950,144.474,169.364,-20.045,144.865,-157.794,-995.230,312.870,-159.190,-5.085,-1.847
-153.029,706.949,144.474,169.364,-20.045,144.865,-164.760,-1032.683,104.696,-170.587,-3.125,-1.768
-153.029,706.950,144.474,169.364,-20.045,144.865,-155.111,-974.499,62.895,-164.591,-3.909,-2.136
-153.029,706.950,144.474,169.364,-20.045,144.865,-148.610,-935.306,39.750,-160.761,-4.387,-2.412
-160.436,746.539,162.727,166.873,-22.388,145.768,-147.392,-927.964,35.760,-160.080,-4.470,-2.466
-169.296,793.955,188.348,163.682,-25.225,147.057,-147.392,-927.964,35.760,-160.080,-4.470,-2.466
-168.847,791.541,186.864,163.855,-25.076,146.984,-147.392,-927.964,35.761,-160.080,-4.470,-2.466
-165.501,773.630,176.732,165.087,-24.000,146.472,-147.392,-927.964,35.762,-160.080,-4.470,-2.466
-156.239,724.046,151.985,168.307,-21.052,145.238,-147.392,-927.964,35.761,-160.080,-4.470,-2.466
-176.269,831.262,211.661,160.972,-27.484,148.261,-147.392,-927.964,35.762,-160.080,-4.470,-2.466
-165.334,772.273,223.588,162.550,-26.176,147.583,-147.392,-927.965,35.764,-160.080,-4.470,-2.466
-187.597,728.092,205.517,166.562,-25.183,148.623,-147.391,-927.965,35.764,-160.080,-4.470,-2.466
-182.863,744.021,212.386,153.024,-11.874,-178.141,-147.391,-927.965,35.764,-160.080,-4.470,-2.466
-178.218,722.475,200.155,154.921,-11.539,-178.517,-147.391,-927.965,35.764,-160.080,-4.470,-2.466
-137.332,752.871,212.451,148.677,-1.072,175.801,-147.391,-927.965,35.765,-160.080,-4.470,-2.466
-146.260,793.605,237.799,145.185,-2.104,175.900,-147.391,-927.966,35.765,-160.080,-4.470,-2.466
-143.574,781.267,229.675,146.261,-1.786,175.864,-147.391,-927.965,35.764,-160.080,-4.470,-2.466
-152.531,823.909,259.887,142.408,-2.835,175.964,-147.391,-927.965,35.764,-160.080,-4.470,-2.466
